,Name,Height,Place,Description
73,계룡산,847,"대전광역시, 충청남도 공주시 계룡면ㆍ논산시 상월면ㆍ계룡시 신도안면",    충남 제일의 영산이자 명산        계룡산은 수려한 산세와 승지 신도안  여러 고찰들을 품은 충남 제일의 명산이다  이미 신라시대  악의 하나였고 조선시대에는 묘향산  지리산과 함께 산신제를 올리던 영산이었다      주봉인 천황봉에서 쌀개봉으로 이어지는 능선미가 타의 추종을 불허한다  이 맨드라미 같은 용머리가 오종종하니 가운데가 높은 암탉 벼슬처럼 보인다 하여 계룡이라는 이름이 붙었다      용유소  이일천  백룡강  달문택  군자택  명월담  계룡명암  수정봉 등의 명소가 곳곳에 벌여있다  계룡  경의 하나인 은선폭포  영험함 때문에 무속행사 장소로 각광받는 혹은 받았던  갑사계곡의 용문폭포  신도안 용추폭포로 드러나듯 계곡미 또한 빼어나다      폭포와 기암절벽이 조화를 이룬 계룡산은 단풍으로도 유명하다    월 하순에 절정을 이루는 동학사계곡  남매탑  삼불봉과 관음봉에 이르는 구간이 백미다     동쪽 동학사  서쪽의 갑사  남쪽 신원사 등 사방의 고찰에는 문화재도 많다  이 중 국보 하나와 보물 넷을 간직한 갑사  고려말의 세 충신을 모신 삼은각  동학사는 꼭 들러볼 일이다 
74,계룡산,566,"경상남도 거제시 신현읍, 거제면",              백만 명 목숨 구하는 산                                  정상 일대의 바위 능선이 멀리서 보면 닭의 볏처럼 솟아서 붙은 이름이  계룡 이다  해발     의 계룡산은 거제시 중심부에 있어서 등산로만 해도  개가 나있을 정도로 거제시민들의 사랑을 받고 있다  정상에 이르는 가장 긴 등산로는 용산마을에서 시작해 고자산치와 미군통신대 잔해  의상대 거치는 길       에 총  시간   분 걸린다  그러나 용산마을에서 본격적인 등산로에 접어들 때까지   분 정도 임도를 걸어야 하는 지루함이 있다  계룡산 능선에는 아기자기한 암릉지대가 많은데 대부분 철제계단과 대형 목제계단이 설치되어 있어 편하게 산행을 즐길 수 있다  그러나 시설물이 없는 일부 구간에서는 주의를 요한다  사기장골에서 시작해 계룡산 선자산을 종주하고 거제자연예술랜드로 하산하는 코스는 약     에 달해  시간쯤 걸린다  휴식과 점심시간을 포함하면 하루 산행코스로 적당하다 
75,계명산,622,충북 충주시 안림동ㆍ용탄동ㆍ종민동,          
76,계명산,775,경상북도 안동시,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   계명산은 남으로 화부산과 금학산  북으로는 약산과 와룡산이 있으며 길안면 고란리와 배방리를 경계로 남북으로 길게 자리잡고 있는 산이다  전형적으로 밋밋한 산에다 높이도 크게높지 않고 별다른 특징이 없어 등산을 목적으로 찾기에 미흡하여 등산객들이 거의 없지만  산 중앙에 휴양림이 있어 여름과 주말이면 많은 사람들이 찾는다  산 능선이나 골짜기까지 임도가 있어 누구나 편하게 걸어 다닐수 있고  휴양림에서 각종 놀이를 즐길수 있으며 산보를 할수 있는 가족단위 산행으로 적당한 곳이다                    산의 유래는 옛날에 이 산에 닭이 많아 닭울음소리가 끊이지 않았다하여 계명산이라고 불렀다고 한다  계명산이 자리잡고 있는곳은 길안면 사과단지로 유명하며  많은 과수원이 있다                           
77,계명산,622,"경기도 파주시 광탄면, 양주시 석현면",          
78,계방산,1579,"강원도 홍천군 내면, 평창군 용편면ㆍ진부면",    오대산과 이웃한 남한  위봉        백두대간의 오대산에서 곁가지를 쳐 남한강과 북한강을 가르는 지릉의 최고봉이다      평창군의 유명한 가리왕산의 모산이기도 한 오대산 비로봉보다도 더 높아 백두대간을 바라보는 최고의 전망대를 제공하는 계방산은 한라  지리  설악  덕유산에 이어 남한 제 위봉이다  그러나 남한 제 위봉이라는 사실을 제외하고도 계방산에는 흥미로운 것들이 있다      차량이 다니는 남한에서 가장 높은 고개 운두령이 그 하나다  운두령에서 정상까지의 표고차는    미터로 초보자도 쉽게 오르면서 고도감을 한껏 만끽할 수 있어 계방산의 인기를 높여준다  남쪽 산자락에는 이승복 생가터와 전국에서 이름난 방아다리약수를 품고 있다  영동지방의 바닷바람과 대륙에서 불어오는 북서풍이 부딪쳐서 많은 적설량을 보인다  그래서 아름다운 설경을 연출  그 진가를 발휘하는 계방산은 겨울 산행코스로 단연 손꼽힌다      그러나 산행시간은 눈이 있을 때와 없을 때에 많은 차이를 보인다  보통 때에 비해 능선이든 골짜기이든  배 이상을 예상해야 한다 
79,계족산,723,"전라남도 순천시 서면, 봉강면",          
80,계족산,703,"전라남도 구례군 간전면 금산리, 문척면 금정리",              천길 바위 절벽 품은 구례의 명산                                  계족산은 전남 구례 문척면과 간전면의 경계를 이루는 높이    미터의 산이다  남쪽의 천황봉을 중심으로 왼쪽으로는 둥주리봉과 자래봉  오산이 서 있고  오른쪽으로는 텃골재와 계족산이 마치 쌍둥이처럼 나란히 섬진강을 향해 이어져 있다  우리나라 최고의 명당이라는 운조루에서 보면 좌우의 위치한 왕시루봉과 천왕봉이 청룡과 백호  계족산이 주작의 역할을 한다고 전해진다  산줄기의 중심에    미터의 봉우리와 삼각점이 있지만 실제로는 북동쪽의    미터 봉우리를 계족산이라고 부르고 있으며  이곳에 헬기장과 산불감시 카메라가 설치되어 있다  전체적인 산세는 험하지 않다  그러나 광대바위가 있는 주변은 수십 미터의 낭떠러지와 암릉이 펼쳐져 있어 아찔한 스릴을 느낄 수 있으며  그곳에 앉아서 바라보는 구례와 지리산의 모습은 가슴을 뻥 뚫어버릴 정도로 장관이다      년부터 구례군에서 등산안내표지판과 로프  계단 등의 편의시설을 만들어 관리가 잘되어 있다 
81,계족산,890,강원도 영월군 영월읍,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         영월읍 동쪽에 병풍을 친 듯 화성    의 모습으로 수석처럼 우뚝 솟은 산이다                                                                                     백두대간 함백산에서 서쪽으로 가지를 친 한 개의 능선이 두위봉  망경대산  응봉산을 거쳐                                                                 남한강에 막혀 더 이상 뻗지 못하고 지맥을 다하여 험준한 산세를 이루고 있으며                                                                  산자락에는 고구려의 산성인 정양산성과 조선 제  대 임금인 정조대왕 태실비등의 유적이 있으며  우리나라 최초의 화력발전소인 영월화력발전소의 자리가 있다                                                                                     해발     로 영월읍 정양리에 위치하며  산의 모양이 닭의 발처럼 생겼다고 해서 계족이라는 이름이 붙여졌다  정양산     이라고도 한다                           
82,계족산,424,"대전광역시 대덕구, 동구",      
83,고고산,854,"강원도 영월군, 정선군",          
84,고근산,396,제주도 서귀포시 서호동,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         서귀포시 신시가지를 감싸고 있는 오름으로 산정부에 얕은 원형 분화구를 갖고 있는 오름이다  남동사면 중턱의 머흔저리라고 하는 곳은 예전에 국상    을 당했을때 곡배하던 곡배단     이 있고  남서사면 숲비탈에 꿩사냥 하던 개 강생이 강아지 가 떨어져 죽었다고 전해지는 강생이궤라는 수직동굴이 있다  주요식생은 오름 중턱에 삼나무  편백나무  해송  상수리나무  밤나무 등이 조림되어 있고  정상부근에는 자연석과 어울어져 사스레피나무  예덕나무  산철쭉이 군락을 이루고 있으나  예전에는 드문드문 해송이 있는 풀밭오름이었고 한다                                                                                     이 오름의 굼부리는 전설상의    거신  설문 대할망이 심심할 때면 한라산 정상부를 베게 삼고  고근산 굼부리에는 궁둥이를 얹어 앞바다 범섬에 다리를 걸치고 누워서 물장구를 쳤다는 전설이 전해오고 있다        고근산 이란 근처에 산이 없어 외로운 산이라는 뜻이다                           
85,고내봉,175,제주도 제주시 애월읍 고내리,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         일주도로변 애월상업고등학교 동남쪽에 위치한 오름으로  크고 높은 주봉을 중심으로  개의 봉우리로 이루어져 있으며  주봉 서쪽이 방애오름  남쪽이 진오름  남서쪽 공동묘지가 조성되어 있는 것이 너분 넓은 오름이라고 따로 불리우고 있다  오름을 돌아가며 산줄기가 뻗어내려 그 가장자리 마다 잡목이 우거지고 골들이 패어 있는 복합형 화구를 이루고 있으며  오름 말물동산 중턱에 보광사 조계종 라는 절이 있고  정상부의 공동묘지를 출입하는 포장도로가 오름정상 가까이 까지 개설되어 있다  또한 이 오름은  종류의 구성물질로 이루어진 매우 드문형태의 오름으로도 유명하다  오름 북사면 바다쪽 과 그 골짜기에는 수중화산 쇄설성퇴적층        의 노두     단면이 잘 발달되어 있다  주봉꼭대기에는 조선시대 때 봉수대를 설치했던 흔적이 있는데  이 봉수는 북동으로 수산봉수  남서로 도내봉수 어도오름 와 교신했었다고 한다                    이 오름은 전사면에 해송이 주종을 이루는 숲으로 구성되어 있으며  주봉까지는 현재 산책로가 가꾸어져 있는데 이곳에는 왕벚나무가 식재되어 있고  오름 북서측 사면 중턱에  말물 이라는 샘이 있다                                                                                       스트롬볼리식 분화                         화산활동의 일종으로서 현무암 보다     의 양이 다소 많은 폭발로 용암유출과 약한 폭발이 비교적 규칙적으로 일어나는 육상분화활동                           
86,고대산,832,경기도 연천군 신서면·강원도 철원군 철원읍,          
87,고덕산,603,"전북 전주시 완산구, 완주군 구이면ㆍ상관면",      
88,고덕산,603,전라북도 임실군,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         산의 높이는     이다  높은 산은 아니지만 정상이 가까워 질수록 사면이 깎아지른 암벽으로 이루어져 있으며  조망은 사방이 확 트여 아주 좋다  동쪽으로 성수산      과 팔공산        이 중후하고  북동쪽으로 선각산 덕태산 같은 금남호남정맥상에 솟은 고봉들이 하얀 고깔을 쓰고 우람하게 버티고 있다  그리고 진안군 백운면에서 임실군 관촌면으로 이어지는    번 지방도로 너머로 내동산      이 이웃하고 있다  남쪽과 서쪽으로는 순창의 회문산        임실의 오봉산        경각산      이 보인다  임실읍내와 멀리 오수면소재지도 바라보인다                    삼국유사와 삼국사기에는 고대산       신증동국여지승람에는 고덕산      또는 고달산     이라고 기록되어 시대에 따라 부르는 이름도 달랐다  고달    이란 최고에 도달한다는 뜻이어서 높다라기로도 불렸다  이는 하늘 높이 달아매기란 뜻이니 산   자를 말미에 붙여서 높닭산의 줄임말이 되었다  높닭산은 높달산과 고달산이 되었고  높닥산은 고덕산     으로 차음된 것이다                    백제의 얼을 계승하려고 고심했던 견훤이 백제의 옛 땅에 후백제를 창업하고 전주부성의 수호를 위해 쌓았다는 남고산성으로 이어지는 고덕산은 신라의 대찰 남고사를 비롯한 삼경사  관성묘 등 문화유적의 보고요  백제유민의 숨결이 살아 숨쉬는 천년고도 전주의 동남쪽을 지켜주는  수호신 이다                           
89,고동산,600,"경기도 가평군 설악면, 양평군 서종면",          
90,고두산,1030,강원도 평창군 대화면,          
91,고락산,350,전라남도 여수시 문수동,          
92,고래산,543,"경기도 여주군 북내면, 양평군 지제면",          
93,고려산,436,"인천광역시 강화군 강화읍, 하점면, 송해면, 내가면",          
94,고령산,622,"경기도 파주시 광탄면, 양주시 장흥계곡",          
95,고루포기산,1238,"강원도 강릉시, 평창군",          
96,고리봉(두리봉),710,전북 남원시 주생면ㆍ금지면ㆍ대강면,      
97,고봉산,153,전라북도 군산시,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   대야면 소재지로부터 만경강  오성산에 이르러 남북으로 길게 연계된 만경들판을 근간으로 하는 제일 높은 산이다  동으로는 산곡평야가 있고 서쪽으로는 장군봉을 바라보고 그 밑에는 개정뜰로 이어지는 만경평야의 곡창지대로써  왜정시대는 쌀의 수탈지역이었으며 도곡농장   발산초교 이 있었던 곳이다                    산 줄기를 근거로 임피면에 이르는 땅은 기름져  성산의 채호덕  이도순 등의 대작들이 있었는데  그 곳을 지나는 사람은 이 두사람의 땅을 밟지 않고는 가지 못했다는 설도 있다  이 산은 임피면의 서쪽을 방어한 유서깊은 산이다                           
98,고산봉,362,"전라남도 함평군,영광군",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         지형은 자라가 누워있는 형상으로 지세는 전체적으로 완만하나 정상부분    부 능선   도 정도의 경사가 이루어져 있는것만 빼고 등반하기가 양호한 편이다  함평에서 불갑산 다음으로 큰 산이며 경관도 아름다우며 노선이 어느정도 정비가 되어 있다  박쥐 중 유일하게 멸종위기  급에 올라 있는 붉은 박쥐의 집단동면지역인 고산봉 일대        는 붉은 박쥐와 서식지를 보호하기 위해 생태계보전 지역에 지정되어 있으며 지형은 박쥐가 서식하기 좋은 조건인 바위 동굴이 여기저기 형성되어있다                           
99,고성산,186,강원도 고성군간성읍 금수리,          
100,고성산,98,전라북도 고창군 성송면/전라남도 장성군 삼계면 부성리,          
